,Page,Title,City,Tag,Link,Logo
42,itviec,Kỹ Sư An Ninh Bảo Mật,Hà Nội,Kỹ Sư An Ninh Bảo Mật,https://careerbuilder.vn/vi/tim-viec-lam/ky-su-an-ninh-bao-mat.35BADBB1.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
43,itviec,Kỹ Sư Công Nghệ Thông Tin,Hà Nội,Kỹ Sư Công Nghệ Thông Tin,https://careerbuilder.vn/vi/tim-viec-lam/ky-su-cong-nghe-thong-tin.35BADBAF.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
44,itviec,Cán Bộ Tin Học Chi Nhánh,"Hà Nội
Hồ Chí Minh
Bình Dương",Cán Bộ Tin Học Chi Nhánh,https://careerbuilder.vn/vi/tim-viec-lam/can-bo-tin-hoc-chi-nhanh.35BAD4AE.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
45,itviec,Trưởng Nhóm Tư Vấn - Triển Khai Phần Mềm,Hồ Chí Minh,Trưởng Nhóm Tư Vấn - Triển Khai Phần Mềm,https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-tu-van-trien-khai-phan-mem.35BADCE2.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
46,itviec,Chuyên viên cao cấp kiểm thử hệ thống/ Senior IT Quality Control,Hà Nội,Chuyên viên cao cấp kiểm thử hệ thống/ Senior IT Quality Control,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-kiem-thu-he-thong-senior-it-quality-control.35BADD28.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
47,itviec,Tester,Hà Nội,Tester,https://careerbuilder.vn/vi/tim-viec-lam/tester.35BADD0C.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
48,itviec,Lập trình viên Odoo,Hồ Chí Minh,Lập trình viên Odoo,https://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo.35BADCA4.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
49,itviec,Cloud Infrastructure Specialists,Hà Nội,Cloud Infrastructure Specialists,https://careerbuilder.vn/vi/tim-viec-lam/cloud-infrastructure-specialists.35BADC4E.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
50,itviec,Kỹ Sư Triển Khai Kỹ Thuật,Hồ Chí Minh,Kỹ Sư Triển Khai Kỹ Thuật,https://careerbuilder.vn/vi/tim-viec-lam/ky-su-trien-khai-ky-thuat.35BADC4A.html,https://images.careerbuilder.vn/employer_folders/lot6/226436/155x155/162635openway.png
51,itviec,Web designer,"Hà Nội
Hồ Chí Minh",Web designer,https://careerbuilder.vn/vi/tim-viec-lam/web-designer.35BAB1EF.html,https://images.careerbuilder.vn/employer_folders/lot0/270720/155x155/92941image001-1.png
52,itviec,Information System Analyst - EQuest Education Group,Hồ Chí Minh,Information System Analyst - EQuest Education Group,https://careerbuilder.vn/vi/tim-viec-lam/information-system-analyst-equest-education-group.35BAB4FE.html,https://images.careerbuilder.vn/employer_folders/lot0/156960/155x155/150005equestgroup.png
53,itviec,[EQUEST] Senior BA,Hồ Chí Minh,[EQUEST] Senior BA,https://careerbuilder.vn/vi/tim-viec-lam/equest-senior-ba.35BA3BC8.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
54,itviec,Business Developer (Giám đốc điều hành),Hồ Chí Minh,Business Developer (Giám đốc điều hành),https://careerbuilder.vn/vi/tim-viec-lam/business-developer-giam-doc-dieu-hanh.35BAD18B.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
55,itviec,IT Service Consultant,Hồ Chí Minh,IT Service Consultant,https://careerbuilder.vn/vi/tim-viec-lam/it-service-consultant.35BADC09.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
56,itviec,Software Developer,"Hồ Chí Minh
Hà Nội",Software Developer,https://careerbuilder.vn/vi/tim-viec-lam/software-developer.35BA9E43.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
